category,tl,ceb,pron
food,Bilhan mo ako ng tinapay,Palit ko og pan,pa-LEET ko og pan
food,Gutom na ba kayo?,Gigutom na mo?,gi-GOO-tom na mo
food,Ubusin mo ang pagkain,Ubusa ang pagkaon,oo-BOO-sa ang pag-KA-on
food,Magaling magluto si Nanay,Hanas magluto si Nanay,HA-nas mag-LOO-to si na-NAI
food,Kain tayo sa labas,Mangaon ta sa gawas,ma-NGA-on ta sa GA-was
food,Wala akong gana,Wala koy gana,wa-LA koi GA-na
shopping,Magkano ito?,Tagpila ni?,tag-PEE-la ni
shopping,Ang mahal naman,Mahal kaayo,ma-HAL ka-A-yo
shopping,Pwede bang tumawad?,Pwede ba maghangyo?,PWE-de ba mag-HANG-yo
shopping,May tawad ba?,Naay hangyo?,NA-ai HANG-yo
shopping,Bibili ako nito,Paliton nako ni,pa-LEE-ton NA-ko ni
shopping,Wala akong pera,Wala koy kwarta,wa-LA koi KWAR-ta
shopping,Magkano lahat?,Tagpila tanan?,tag-PEE-la ta-NAN
shopping,Ano ang sukli ko?,Pila akong sukli?,PEE-la A-kong sook-LEE
shopping,Meron ba kayong ganito?,Naa mo ani?,NA-a mo A-ni
shopping,Ilan ang gusto mo?,Pila imong gusto?,PEE-la EE-mong GOOS-to
shopping,Isa lang,Usa lang,OO-sa lang
shopping,Bigyan mo ako ng resibo,Hatagi ko og resibo,ha-TA-gi ko og re-SEE-bo
shopping,Saan ako magbabayad?,Asa ko mobayad?,AH-sa ko mo-BA-yad
shopping,Mura ito,Barato ni,ba-RA-to ni
shopping,Ubos na ba?,Nahurot na?,na-HOO-rot na
shopping,Meron pa ba?,Naa pa ba?,NA-a pa ba
shopping,Gusto ko ng mas malaki,Gusto ko og mas dako,GOOS-to ko og mas DA-ko
shopping,Anong kulay ang meron kayo?,Unsang kolor ang naa mo?,OON-sang KO-lor ang NA-a mo
shopping,Pwede ko bang subukan?,Pwede nako sulayan?,PWE-de NA-ko soo-la-YAN
shopping,Bagay ba sa akin?,Bagay ba nako?,BA-gai ba NA-ko
shopping,Magkano ang kilo?,Tagpila ang kilo?,tag-PEE-la ang KEE-lo
shopping,Bilhin natin ito,Paliton nato ni,pa-LEE-ton NA-to ni
shopping,Masyadong mahal,Sobrang mahal,SO-brang ma-HAL
shopping,Bawasan mo naman,Hangyoi intawon,hang-YO-i in-TA-won
shopping,Nasaan ang kahera?,Asa ang kahera?,AH-sa ang ka-HE-ra
shopping,Sarado na ba ang tindahan?,Sirado na ang tindahan?,si-RA-do na ang tin-DA-han
shopping,Bukas pa ba kayo?,Abli pa mo?,AB-li pa mo
shopping,Salamat sa pagbili,Salamat sa pagpalit,sa-LA-mat sa pag-PA-lit
emergencies,Tulong!,Tabang!,TA-bang
emergencies,Saklolo!,Tabangi ko!,ta-BA-ngi ko
emergencies,May sunog!,Naay kalayo!,NA-ai ka-LA-yo
emergencies,Tumawag ka ng pulis,Tawag og pulis,TA-wag og poo-LEES
emergencies,Tumawag ka ng ambulansya,Tawag og ambulansya,TA-wag og am-boo-LAN-sya
emergencies,May aksidente,Naay aksidente,NA-ai ak-si-DEN-te
emergencies,May sakit ako,Nagsakit ko,nag-SA-kit ko
emergencies,Masakit ang tiyan ko,Sakit akong tiyan,SA-kit A-kong ti-YAN
emergencies,Tawagin mo ang doktor,Tawga ang doktor,TAW-ga ang dok-TOR
emergencies,Kailangan ko ng tulong,Nagkinahanglan ko og tabang,nag-ki-na-HANG-lan ko og TA-bang
emergencies,Nasugatan ako,Nasamdan ko,na-SAM-dan ko
emergencies,Hindi ako makahinga,Dili ko makaginhawa,DEE-li ko ma-ka-gin-HA-wa
emergencies,Nahihilo ako,Gilipong ko,gi-LEE-pong ko
emergencies,Nawawala ang anak ko,Nawala akong anak,na-WA-la A-kong A-nak
emergencies,May magnanakaw!,Naay kawatan!,NA-ai ka-WA-tan
emergencies,Tigil!,Hunong!,HOO-nong
emergencies,Mag-ingat ka!,Amping!,AM-ping
emergencies,Delikado dito,Peligro diri,pe-LEEG-ro DEE-ri
emergencies,Saan ang pinakamalapit na ospital?,Asa ang pinakaduol nga ospital?,AH-sa ang pi-na-ka-DOO-ol nga os-pee-TAL
emergencies,Kailangan ko ng gamot,Nagkinahanglan ko og tambal,nag-ki-na-HANG-lan ko og TAM-bal
emergencies,May lindol!,Naay linog!,NA-ai LEE-nog
emergencies,Lumikas na tayo,Mobakwit na ta,mo-BAK-wit na ta
emergencies,Tawagin ang bumbero,Tawga ang bombero,TAW-ga ang bom-BE-ro
emergencies,May nalunod,Naay nalumos,NA-ai na-LOO-mos
emergencies,Dalhin mo ako sa ospital,Dad-a ko sa ospital,DAD-a ko sa os-pee-TAL
emergencies,Wala akong makita,Wala koy makita,wa-LA koi ma-KEE-ta
emergencies,Nawala ang pitaka ko,Nawala akong pitaka,na-WA-la A-kong pi-TA-ka
emergencies,Bilisan mo!,Dalia!,da-LEE-a
small_talk,Anong pangalan mo?,Unsay imong ngalan?,OON-sai EE-mong NGA-lan
small_talk,Taga saan ka?,Taga asa ka?,TA-ga AH-sa ka
small_talk,Ilang taon ka na?,Pila na ka tuig?,PEE-la na ka TOO-ig
small_talk,Ano ang trabaho mo?,Unsa imong trabaho?,OON-sa EE-mong tra-BA-ho
small_talk,May asawa ka na ba?,Minyo na ka?,MIN-yo na ka
small_talk,Ilan ang anak mo?,Pila imong anak?,PEE-la EE-mong A-nak
small_talk,Saan ka nakatira?,Asa ka nagpuyo?,AH-sa ka nag-POO-yo
small_talk,Ano ang paborito mong pagkain?,Unsa imong paboritong pagkaon?,OON-sa EE-mong pa-bo-REE-tong pag-KA-on
small_talk,Marunong ka bang mag-Bisaya?,Kamao ka mag-Binisaya?,ka-MA-o ka mag-bi-ni-SA-ya
small_talk,Konti lang,Gamay ra,GA-mai ra
small_talk,Hindi ko maintindihan,Dili ko kasabot,DEE-li ko ka-SA-bot
small_talk,Pakiulit mo,Balika palihog,ba-LEE-ka pa-LEE-hog
small_talk,Ano ang ibig sabihin nito?,Unsa ni pasabot?,OON-sa ni pa-SA-bot
small_talk,Magandang panahon ngayon,Nindot ang panahon karon,NIN-dot ang pa-NA-hon ka-RON
small_talk,Mainit ngayon,Init karon,EE-nit ka-RON
small_talk,Umuulan,Nag-ulan,nag-OO-lan
small_talk,Anong oras na?,Unsa nang orasa?,OON-sa nang o-RA-sa
small_talk,Sandali lang,Kadiyot lang,ka-di-YOT lang
small_talk,Sige,Sige,SEE-ge
small_talk,Walang problema,Walay problema,wa-LAI pro-ble-MA
small_talk,Masaya akong makausap ka,Malipay ko makig-istorya nimo,ma-LEE-pai ko ma-kig-is-TOR-ya NEE-mo
small_talk,Tara na,Adto na ta,AD-to na ta
small_talk,Saan ka pupunta?,Asa ka padulong?,AH-sa ka pa-DOO-long
small_talk,Ano ang balita?,Unsa may balita?,OON-sa mai ba-LEE-ta
small_talk,Ingat sa daan,Amping sa dalan,AM-ping sa DA-lan
small_talk,Kita tayo mamaya,Magkita ta unya,mag-KEE-ta ta OON-ya
small_talk,Salamat sa pagbisita,Salamat sa pagbisita,sa-LA-mat sa pag-bi-SEE-ta
small_talk,Pasensya na,Pasayloa ko,pa-sai-LO-a ko
